model,openml_task_id,openml_dataset_id,openml_dataset_name,task,feature_type,dataset_size,search_type,seed,device,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test,hp__batch_size,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles
TABPFN_FINETUNE,361060,44120,electricity,CLASSIFICATION,NUMERICAL,MEDIUM,DEFAULT,1,cuda:7,0.871399998664856,0.8207679986953735,0.8165261745452881,0.3073055446147918,0.389005571603775,0.3897697329521179,[0.871399998664856],[0.8207679986953735],[0.8165261745452881],[0.30730554461479187],[0.389005571603775],[0.3897697329521179],10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361055,44089,credit,CLASSIFICATION,NUMERICAL,MEDIUM,DEFAULT,0,cuda:6,0.7926500141620636,0.7753227651119232,0.7751063704490662,0.4464461654424667,0.4766521006822586,0.4820429533720016,"[0.7953000068664551, 0.7900000214576721]","[0.7879841327667236, 0.7626613974571228]","[0.771276593208313, 0.7789361476898193]","[0.4410382807254791, 0.45185405015945435]","[0.4656839966773987, 0.48762020468711853]","[0.4823043644428253, 0.481781542301178]",10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361069,44129,Higgs,CLASSIFICATION,NUMERICAL,MEDIUM,DEFAULT,0,cuda:6,0.9688000082969666,0.701479971408844,0.6993200182914734,0.2815807461738586,0.5662625432014465,0.5695352554321289,[0.9688000082969666],[0.701479971408844],[0.6993200182914734],[0.28158074617385864],[0.5662625432014465],[0.5695352554321289],10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361062,44122,pol,CLASSIFICATION,NUMERICAL,MEDIUM,DEFAULT,1,cuda:7,0.992017388343811,0.9588386615117392,0.9615989923477172,0.0284853478272755,0.0987796733776728,0.1001532425483067,"[0.9927731156349182, 0.9917812347412109, 0.991497814655304]","[0.9592061638832092, 0.9536935091018677, 0.9636163115501404]","[0.9579792022705078, 0.9645892381668091, 0.962228536605835]","[0.02862340398132801, 0.02984664961695671, 0.02698598988354206]","[0.10574555397033691, 0.09738574177026749, 0.09320772439241409]","[0.10638368129730225, 0.09693598747253418, 0.09714005887508392]",10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361070,44130,eye_movements,CLASSIFICATION,NUMERICAL,MEDIUM,DEFAULT,0,cuda:6,0.7974960803985596,0.6013645132382711,0.5947467088699341,0.5535487731297811,0.661684254805247,0.6635638872782389,"[0.794366180896759, 0.8356807231903076, 0.7624413371086121]","[0.609649121761322, 0.6154970526695251, 0.5789473652839661]","[0.6010006070137024, 0.5847404599189758, 0.598499059677124]","[0.5481852293014526, 0.5374796390533447, 0.5749814510345459]","[0.6583055853843689, 0.6603084802627563, 0.6664386987686157]","[0.6632153391838074, 0.6676753163337708, 0.6598010063171387]",10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361065,44125,MagicTelescope,CLASSIFICATION,NUMERICAL,MEDIUM,DEFAULT,1,cuda:7,0.8994624416033427,0.8686616619427999,0.871886134147644,0.2420368740955988,0.3013473252455393,0.2998013993104299,"[0.899604856967926, 0.899604856967926, 0.899177610874176]","[0.8711554408073425, 0.8669991493225098, 0.8678303956985474]","[0.8651245832443237, 0.8765124678611755, 0.8740213513374329]","[0.23756437003612518, 0.24776341021060944, 0.24078284204006195]","[0.2964985966682434, 0.2946854531764984, 0.3128579258918762]","[0.322805792093277, 0.28940320014953613, 0.28719520568847656]",10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361274,45021,jannis,CLASSIFICATION,NUMERICAL,MEDIUM,DEFAULT,0,cuda:6,0.9797000288963318,0.7703517079353333,0.7682399749755859,0.135596215724945,0.4772518575191498,0.4833163917064667,[0.9797000288963318],[0.7703517079353333],[0.7682399749755859],[0.13559621572494507],[0.4772518575191498],[0.4833163917064667],10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361066,44126,bank-marketing,CLASSIFICATION,NUMERICAL,MEDIUM,DEFAULT,1,cuda:7,0.8074013988176981,0.8042717178662618,0.7868286569913229,0.4209496974945068,0.4250587423642476,0.4529389441013336,"[0.8090221285820007, 0.804024875164032, 0.8091571927070618]","[0.8109243512153625, 0.8130252361297607, 0.7888655662536621]","[0.7889288663864136, 0.7790278792381287, 0.7925292253494263]","[0.4165217876434326, 0.4273146390914917, 0.4190126657485962]","[0.4171668589115143, 0.4140879809856415, 0.44392138719558716]","[0.4545850157737732, 0.46647703647613525, 0.4377547800540924]",10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361276,45028,california,CLASSIFICATION,NUMERICAL,MEDIUM,DEFAULT,0,cuda:6,0.9258000254631042,0.8811911940574646,0.8863514065742493,0.1895892769098281,0.2681835889816284,0.2600534558296203,[0.9258000254631042],[0.8811911940574646],[0.8863514065742493],[0.18958927690982819],[0.2681835889816284],[0.26005345582962036],10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361273,45022,Diabetes130US,CLASSIFICATION,NUMERICAL,MEDIUM,DEFAULT,0,cuda:6,0.6115000247955322,0.6071370244026184,0.6039333343505859,0.6514907479286194,0.6602053046226501,0.6616361737251282,[0.6115000247955322],[0.6071370244026184],[0.6039333343505859],[0.6514907479286194],[0.6602053046226501],[0.6616361737251282],10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
