model,openml_task_id,openml_dataset_id,openml_dataset_name,task,feature_type,dataset_size,search_type,seed,device,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test,hp__batch_size,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles
TABPFN_FINETUNE,361073,44133,pol,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,1,cuda:7,-0.4715014100074768,-0.5131597518920898,-0.4961434602737427,2537.0050048828125,2707.2000732421875,2643.0142822265625,"[-0.47385871410369873, -0.4691441059112549]","[-0.5107429027557373, -0.5155766010284424]","[-0.49021410942077637, -0.502072811126709]","[2537.550048828125, 2536.4599609375]","[2691.800048828125, 2722.60009765625]","[2648.05712890625, 2637.971435546875]",10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361072,44132,cpu_act,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,0,cuda:6,0.9223188360532124,0.9344558715820312,0.9189940492312112,25.217458724975582,27.589684168497723,28.213098526000977,"[0.9522956609725952, 0.8529878854751587, 0.9616729617118835]","[0.9651538133621216, 0.891740083694458, 0.9464737176895142]","[0.9467419981956482, 0.8599241375923157, 0.9503160119056702]","[15.886406898498535, 47.084022521972656, 12.681946754455566]","[11.797140121459961, 48.53842544555664, 22.433486938476562]","[19.019317626953125, 49.276123046875, 16.343854904174805]",10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361078,44138,houses,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,1,cuda:7,0.7202496528625488,0.6973813772201538,0.7173758745193481,0.0897953510284423,0.1015855893492698,0.0912132039666175,[0.7202496528625488],[0.6973813772201538],[0.7173758745193481],[0.08979535102844238],[0.10158558934926987],[0.09121320396661758],10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361080,44140,diamonds,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,1,cuda:7,0.9312097430229188,0.9286478161811828,0.9319099187850952,0.070635512471199,0.0730942711234092,0.070169985294342,[0.9312097430229187],[0.9286478161811829],[0.9319099187850952],[0.07063551247119904],[0.07309427112340927],[0.07016998529434204],10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361077,44137,Ailerons,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,1,cuda:7,0.7395138541857401,0.7206488053003947,0.7346517642339071,4.3737709158146267e-08,4.2034069262323705e-08,4.4390457532017535e-08,"[0.7356085181236267, 0.7360025644302368, 0.7469304800033569]","[0.6958112120628357, 0.7477858066558838, 0.7183493971824646]","[0.7292745113372803, 0.7206743955612183, 0.7540063858032227]","[4.49995667395342e-08, 4.3764092794162934e-08, 4.244946794074167e-08]","[4.4982439106888705e-08, 4.1086451574301464e-08, 4.003331710578095e-08]","[4.3578143760214516e-08, 4.733099956411024e-08, 4.226222927172785e-08]",10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361079,44139,house_16H,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,1,cuda:7,0.5137163400650024,0.4775332808494568,0.5141041278839111,0.3779009580612182,0.4348656237125397,0.3534236252307892,[0.5137163400650024],[0.4775332808494568],[0.5141041278839111],[0.37790095806121826],[0.4348656237125397],[0.3534236252307892],10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361087,44147,MiamiHousing2016,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,0,cuda:6,0.852541446685791,0.8482684095700582,0.8486059109369913,0.0478282024463017,0.0470335371792316,0.0485676477352778,"[0.8593235015869141, 0.868802547454834, 0.829498291015625]","[0.8543643951416016, 0.8534305691719055, 0.8370102643966675]","[0.8668681383132935, 0.8649929761886597, 0.813956618309021]","[0.04535490274429321, 0.042732033878564835, 0.05539767071604729]","[0.04678337275981903, 0.04354051873087883, 0.05077672004699707]","[0.04295914247632027, 0.04346949979662895, 0.059274300932884216]",10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361081,44141,Brazilian_houses,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,1,cuda:7,0.9141748348871866,0.9026269515355428,0.9227240284283956,0.0551757179200649,0.0617113777746756,0.047877661883831,"[0.8676467537879944, 0.9273752570152283, 0.9475024938583374]","[0.8562465906143188, 0.8902159929275513, 0.9614182710647583]","[0.8821327686309814, 0.9385491609573364, 0.9474901556968689]","[0.0852065309882164, 0.04696005582809448, 0.033360566943883896]","[0.09276728332042694, 0.0680064707994461, 0.024360379204154015]","[0.07204126566648483, 0.037714723497629166, 0.033876996487379074]",10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361085,44145,sulfur,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,0,cuda:6,0.6680759787559509,0.5855236252148946,0.6413503090540568,0.000884008516247,0.0015212973618569,0.0010697764228098,"[0.6574474573135376, 0.6986561417579651, 0.6481243371963501]","[0.4262654781341553, 0.5799320936203003, 0.7503733038902283]","[0.7155163288116455, 0.5948524475097656, 0.6136821508407593]","[0.0008952025673352182, 0.0008146916516125202, 0.000942131329793483]","[0.002241244539618492, 0.0016879249596968293, 0.0006347225862555206]","[0.0008479287498630583, 0.0010659906547516584, 0.0012954098638147116]",10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361088,44148,superconduct,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,0,cuda:6,0.7597430348396301,0.7494977116584778,0.7467139959335327,284.00408935546875,291.6525573730469,295.3331604003906,[0.7597430348396301],[0.7494977116584778],[0.7467139959335327],[284.00408935546875],[291.6525573730469],[295.3331604003906],10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
