model,openml_task_id,openml_dataset_id,openml_dataset_name,task,feature_type,dataset_size,search_type,seed,device,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test,hp__batch_size,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles
TABPFN_FINETUNE,361072,44132,cpu_act,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,0,cuda:6,-0.6793373028437296,-0.6404691934585571,-0.6422824462254842,550.8881632486979,657.5614420572916,568.0325113932291,"[-0.6736724376678467, -0.6880179643630981, -0.6763215065002441]","[-0.6949665546417236, -0.5942907333374023, -0.6321502923965454]","[-0.6300849914550781, -0.6418914794921875, -0.654870867729187]","[557.3632202148438, 540.626708984375, 554.674560546875]","[573.8292236328125, 714.8015747070312, 684.0535278320312]","[582.1303100585938, 577.5873413085938, 544.3798828125]",10000,0,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361078,44138,houses,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,1,cuda:7,-3.3773446083068848,-3.2493209838867188,-3.385017871856689,1.4050569534301758,1.426448106765747,1.4152066707611084,[-3.3773446083068848],[-3.2493209838867188],[-3.3850178718566895],[1.4050569534301758],[1.426448106765747],[1.4152066707611084],10000,0,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361086,44146,medical_charges,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,0,cuda:6,-25.580278396606445,-24.993120193481445,-24.88971710205078,8.325109481811523,8.34631061553955,8.333090782165527,[-25.580278396606445],[-24.993120193481445],[-24.88971710205078],[8.325109481811523],[8.34631061553955],[8.333090782165527],10000,0,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361079,44139,house_16H,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,1,cuda:7,-8.660505294799805,-7.867162704467773,-9.093356132507324,7.507376670837402,7.380420684814453,7.341552734375,[-8.660505294799805],[-7.867162704467773],[-9.093356132507324],[7.507376670837402],[7.380420684814453],[7.341552734375],10000,0,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361076,44136,wine_quality,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,1,cuda:7,-10.007304191589355,-9.774287541707356,-10.08423900604248,8.42382844289144,8.305858453114828,8.26360289255778,"[-10.282905578613281, -9.87174129486084, -9.867265701293945]","[-8.758502006530762, -11.106279373168945, -9.458081245422363]","[-10.326866149902344, -10.069597244262695, -9.856253623962402]","[8.487410545349121, 8.41109561920166, 8.372979164123535]","[8.344707489013672, 8.763006210327148, 7.809861660003662]","[8.565213203430176, 8.188765525817871, 8.036829948425293]",10000,0,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361088,44148,superconduct,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,0,cuda:6,-16.498668670654297,-16.543455123901367,-16.5770320892334,20684.90625,20425.337890625,20494.935546875,[-16.498668670654297],[-16.543455123901367],[-16.5770320892334],[20684.90625],[20425.337890625],[20494.935546875],10000,0,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361077,44137,Ailerons,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,1,cuda:7,-4.124762217203776,-4.487984498341878,-4.102036794026692,8.604169276319832e-07,8.26107130554495e-07,8.536865910476384e-07,"[-4.085455417633057, -4.157779693603516, -4.131051540374756]","[-4.402928352355957, -4.160642147064209, -4.900382995605469]","[-4.216434478759766, -4.1161417961120605, -3.973534107208252]","[8.655471219753963e-07, 8.550294978704187e-07, 8.606741630501347e-07]","[7.989672212715959e-07, 8.406842653130298e-07, 8.386699050788593e-07]","[8.396790462938952e-07, 8.669169915265229e-07, 8.544637353224971e-07]",10000,0,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361083,44143,nyc-taxi-green-dec-2016,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,0,cuda:6,-27.500030517578125,-28.30460929870605,-28.129234313964844,10.336830139160156,10.351876258850098,10.363956451416016,[-27.500030517578125],[-28.304609298706055],[-28.129234313964844],[10.336830139160156],[10.351876258850098],[10.363956451416016],10000,0,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361080,44140,diamonds,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,1,cuda:7,-5.280083656311035,-5.32212495803833,-5.305163860321045,6.448544502258301,6.476482391357422,6.497766494750977,[-5.280083656311035],[-5.32212495803833],[-5.305163860321045],[6.448544502258301],[6.476482391357422],[6.497766494750977],10000,0,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361085,44145,sulfur,REGRESSION,NUMERICAL,MEDIUM,DEFAULT,0,cuda:6,-224.8551076253256,-180.0110321044922,-201.34879048665368,0.6018911600112915,0.597427248954773,0.6016496022542318,"[-218.72267150878906, -214.26776123046875, -241.57489013671875]","[-145.0562286376953, -142.90591430664062, -252.07095336914062]","[-189.4178924560547, -220.0987548828125, -194.52972412109375]","[0.5742076635360718, 0.581982433795929, 0.6494833827018738]","[0.5705560445785522, 0.5782455205917358, 0.6434801816940308]","[0.5675573348999023, 0.5817367434501648, 0.6556547284126282]",10000,0,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
